,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
0,A0A1W2P872,NOVA2,8,0.14445851733953857,7.799647820585025e-21,4.798243768006814
1,A0A1W2P872,NOVA2,21,0.115380657810863,1.2568017700916097e-30,6.0074816152997
2,A0A1W2P872,NOVA2,60,0.17737896781702742,1.560472688371791e-11,3.907719100468274
3,A2A432,CUL4B,8,0.17662240359005071,6.425657488205189e-05,3.9244578630510203
4,A2A690,TANC2,8,0.12900769379087274,4.4542838302297415e-08,5.372913507651474
5,A2A690,TANC2,21,0.09195143974954913,5.75195972909872e-16,7.538187356803666
6,A2A690,TANC2,60,0.07049169615863558,8.90981444383504e-19,9.833033085203063
7,A2A699,FAM171A2,8,0.043278877135943396,3.9008751852083026e-39,16.015830964900008
8,A2A699,FAM171A2,21,0.04574153937016108,8.087658078969597e-35,15.153560420227377
9,A2A699,FAM171A2,60,0.042996619637357486,6.313221365076609e-26,16.120969192603837
10,A2A6A1,GPATCH8,8,0.18722167017290975,1.1128042557235276e-24,3.7022807238060897
11,A2A6A1,GPATCH8,21,0.11883246027229868,8.648542711273204e-16,5.832978455311225
12,A2A6A1,GPATCH8,60,0.18284970600354755,9.005809711583375e-12,3.79080281674884
13,A2A6T1,CDR2L,8,0.125890997093548,2.530050141514452e-11,5.505931294236047
14,A2A6T1,CDR2L,21,0.11133674098163578,2.3640466881128785e-10,6.22568232596529
15,A2A7S8,KIAA1522,8,0.03915878949095479,2.946883748099864e-08,17.70093482384214
16,A2A7S8,KIAA1522,21,0.06377207283093395,7.67614404414889e-30,10.86913361586265
17,A2A7S8,KIAA1522,60,0.048862008562131104,3.8290849525936966e-10,14.185810222651106
18,A2A9C3,SZT2,60,0.06656183229371157,3.0355459720724245e-13,10.413583230421834
19,A2ADY9,DDI2,21,0.11720617657163816,1.3684473997769205e-09,5.9139134202222134
20,A2ADY9,DDI2,60,0.1041294272296053,0.0002770058643114006,6.6565926559027
21,A2AFS3,ELAPOR1,8,0.11213634869740013,0.01047517749333502,6.181289016556108
23,A2AG50,MAP7D2,8,0.08022324270078302,2.388487285268862e-80,8.640228906543314
24,A2AG50,MAP7D2,21,0.08571309960545971,6.136296227025196e-94,8.086829011557453
25,A2AG50,MAP7D2,60,0.08635619938498322,3.4722364277434696e-71,8.026605912446849
26,A2AGT5,CKAP5,8,0.16418256712193333,1.0814277625597319e-27,4.221807422740358
27,A2AGT5,CKAP5,21,0.199903880991783,1.1417529533280286e-35,3.467402319159761
28,A2AGT5,CKAP5,60,0.15317230393287673,1.1991269275845132e-07,4.52527749966924
29,A2AHC3,CAMSAP1,8,0.137001596844838,2.3902456457706825e-128,5.059409499766439
30,A2AHC3,CAMSAP1,21,0.13154459025528437,6.373116166438029e-86,5.269294459124293
31,A2AHC3,CAMSAP1,60,0.11424770525725135,4.310843228101201e-34,6.067055605179877
32,A2AHG0,LZTS3,8,0.2139012494246995,9.777446343266734e-38,3.2405008499211996
33,A2AHG0,LZTS3,21,0.19913430495871165,1.5487103720893627e-62,3.4808024699895976
34,A2AHG0,LZTS3,60,0.1673932854662233,8.094397593900786e-44,4.140830252715297
35,A2AI08,TPRN,21,0.3581767221518081,2.8609105727938246e-12,1.9352100169875492
36,A2AJA9,AJM1,8,0.026355824483693138,9.093750208011259e-70,26.299582507419146
37,A2AJA9,AJM1,21,0.03329827181184446,1.4061565247482657e-56,20.816310962822623
38,A2AJA9,AJM1,60,0.03359638201109493,9.827398443076148e-10,20.6316019484193
39,A2AJI0,MAP7D1,8,0.06949595722063234,7.5535515829439e-135,9.973920905346706
40,A2AJI0,MAP7D1,21,0.07368970136380967,9.25205345221114e-197,9.40629650726692
41,A2AJI0,MAP7D1,60,0.06869558573770611,1.4457418059823013e-100,10.090126943622316
42,A2AJT4,PNISR,8,0.18703944481878657,1.0105376187709743e-08,3.705887713853631
43,A2AJT4,PNISR,21,0.1662475472879889,5.142848159258217e-18,4.16936786056286
44,A2AJT4,PNISR,60,0.1904431690789676,2.6668657743364127e-06,3.639653676801243
45,A2ALI5,AJAP1,21,0.0928131409819295,2.1791631533174244e-12,7.468200873569179
46,A2ALS5,RAP1GAP,8,0.0821392746816456,1.1783017079918768e-13,8.438681535068781
47,A2ALS5,RAP1GAP,21,0.08956068802447777,2.1008507701932244e-22,7.73941330565149
48,A2ALS5,RAP1GAP,60,0.11522824107470117,1.098585373892587e-05,6.015427937588544
49,A2ALU4,SHROOM2,8,0.11098249676066002,6.360945683101675e-88,6.24555403591934
50,A2ALU4,SHROOM2,21,0.11126745086252414,2.475821559643718e-154,6.2295592753028854
51,A2ALU4,SHROOM2,60,0.10837154308626745,1.9332542722603336e-76,6.396025753810449
52,A2AMZ4,NDUFAF8,21,0.027668230539517804,7.756156228722391e-12,25.05209646746081
53,A2AMZ4,NDUFAF8,60,0.03233845284903249,0.0013799447980116814,21.434147879485927
54,A2AP18,PLCH2,8,0.06519679398212852,0.006856078856684835,10.631614504694019
55,A2AP18,PLCH2,21,0.09352634984837863,8.079018312066114e-11,7.411250216475349
56,A2APY7,NDUFAF5,8,0.052103106022069565,1.4629824406153722e-07,13.303375431521214
57,A2APY7,NDUFAF5,21,0.06669787881757831,1.8898273096620286e-13,10.39234219810399
58,A2AQ19,RTF1,8,0.4154899536107159,1.8373211468080296e-08,1.6682645983045217
59,A2AQ19,RTF1,21,0.4685820168108415,5.0613048794056603e-17,1.4792440932272415
60,A2AQ19,RTF1,60,0.47778894512755454,1.437302118017669e-23,1.4507392597266915
61,A2AQ25,SKT,8,0.0325309951886086,1.121541516283513e-59,21.30728483838899
62,A2AQ25,SKT,21,0.0408860980067817,3.242933941857494e-175,16.95312622997123
63,A2AQ25,SKT,60,0.03545180543470995,6.186022706678018e-88,19.551816108110046
64,A2AR02,PPIG,8,0.13153052530031709,1.0999197362758427e-77,5.269857920640984
65,A2AR02,PPIG,21,0.13464541815140837,1.6554679361884093e-105,5.1479448025517165
66,A2AR02,PPIG,60,0.13057573336309422,1.3070202275708708e-40,5.308392016704198
67,A2ARP1,PPIP5K1,8,0.14589979044971965,2.411768450051825e-08,4.750844250176078
68,A2ARS0,ANKRD63,8,0.06666029226462764,0.024642130376257194,10.398201943194215
69,A2ASQ1,AGRN,8,0.021340325643690906,1.9976468911318272e-57,32.48062809036227
70,A2ASQ1,AGRN,21,0.024714945169548513,1.9015204664767963e-60,28.045669363409214
71,A2ASQ1,AGRN,60,0.022139220585684478,4.866740911296386e-25,31.30856291337301
72,A2ASS6,TTN,8,0.03472098633638207,1.8155067217113994e-05,19.96334936584556
73,A2ASZ8,SLC25A25,21,0.02815795934895009,1.665203619214722e-16,24.616385440793323
74,A2ASZ8,SLC25A25,60,0.028156424540723278,3.976420005414424e-17,24.617727281297054
75,A2AT37,UPF2,8,0.12415375032451267,6.0575909617289994e-05,5.5829741650832085
76,A2AT37,UPF2,21,0.17715600819124455,1.1603837845458721e-09,3.912637158835024
77,A2BH40,ARID1A,8,0.2745150809985985,2.07882761711241e-18,2.5249876183067848
78,A2BH40,ARID1A,21,0.2611594008203877,8.909178868483057e-47,2.6541153731496614
79,A2BH40,ARID1A,60,0.28825609705625627,1.0142334349107247e-44,2.4046227907702162
80,A2RSJ4,UHRF1BP1L,8,0.11794806736793426,5.7494514768060005e-06,5.876715032538011
81,A2RSJ4,UHRF1BP1L,21,0.13395732607780234,3.0908190724724065e-08,5.174387999931902
83,A2RT62,FBXL16,21,0.3057959449897203,9.947098229089348e-07,2.266698404333799
84,A2RT62,FBXL16,60,0.16310374695491178,2.659285408569546e-05,4.249731802614922
85,A2RTL5,RSRC2,8,0.31694221137327816,1.9772798117288254e-78,2.1869828495125643
86,A2RTL5,RSRC2,21,0.3538316043092108,1.072022325804384e-53,1.9589747555569095
87,A2RTL5,RSRC2,60,0.2980793689598609,5.132572651223454e-20,2.325377911858381
88,A3KMP2,TTC38,8,0.06222938512547279,0.00032167335359627755,11.138583149461564
89,A6H619,PHRF1,8,0.06479273636023833,4.024833631009711e-05,10.697914912964105
90,A6H619,PHRF1,21,0.12283586746621633,7.789293120351459e-07,5.64287284209217
91,A6H619,PHRF1,60,0.07154619313777974,2.588144070254833e-10,9.688107083840512
92,A6H6E2,MMRN2,8,0.2007223560946901,4.591156312352275e-09,3.4532634732174796
93,A6H6E2,MMRN2,21,0.23889485695183754,4.2522998364407847e-19,2.901473850898713
