Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
B2RQC6,CAD_MOUSE,0.1449609331783194,0.1230986773693509,0.0901359842652099,0.2358488868945008,0.3447490048088347,0.5288085482832103,-0.4496401791994848,0.1409634001423106,0.3492072530084338
B2RRE7,OTUD4_MOUSE,0.5804942382257238,0.4813189717969065,0.7696023963971675,0.2702884574207819,0.2094106152883685,0.3851324152248527,0.6771200013201932,0.0002337698147031,0.0036696159205604
B2RUP2,UNC13D_MOUSE,0.1612856108656736,0.1785422688841423,0.2855908171636733,-0.1466479308255829,0.7130405450403006,0.8298846607168404,0.677683927275762,0.0578292853809215,0.1954775633989555
B2RUR8,OTUD7B_MOUSE,0.2422816538327827,0.1942537024194845,0.2041865946962369,0.3187430682356078,0.4659326346736695,0.642591414192648,0.0719460569428108,0.9073270476639452,0.9740430406127824
B2RXC1,TRAPPC11_MOUSE,0.1290794484510397,0.1167447984064703,0.0634913670657365,0.1449010466683161,0.6012338121277181,0.7511988338122784,-0.8787259249400905,,
B2RXR6,ANKRD44_MOUSE,0.2137686225997961,,,,,,,,
B2RXS4,PLXNB2_MOUSE,0.3604114153771837,0.2778920941473388,0.2832035767194458,0.375119915251579,0.1029667802473895,0.2331497625891546,0.0273146946828864,0.9687251896059296,0.9995166935213556
B2RY04,DOCK5_MOUSE,0.0525369892617023,0.1098435553641724,0.242943830518233,-1.0640447964237274,0.0748486301262897,0.1864679995780992,1.1451725683127991,0.0054228441811011,0.0404888922848804
B2RY56,RBM25_MOUSE,0.2085640753942108,0.2277463064745685,0.3640040678898958,-0.1269369781117885,0.7382452754298734,0.8440934468203639,0.676526916208255,0.2012839767194174,0.431533535698258
B8JK39,ITGA9_MOUSE,0.1674829612154843,0.1072959446756465,0.1192771373337415,0.6424187818010665,0.5648433669276337,0.7213644352259216,0.1527219888184097,0.8993752439749951,0.9712045419837364
B9EJ86,OSBPL8_MOUSE,0.1947543925664409,0.2033060540968095,0.1173265048817017,-0.0619973089839888,0.8510757297822482,0.9143351242356113,-0.7931242116136293,0.0399501417298277,0.1563984867233403
B9EKI3,TMF1_MOUSE,,,1.183984588871824,,,,,,
D0QMC3,MNDAL_MOUSE,0.2485195416426534,0.1543829110810073,0.1677578217892407,0.686846231594248,0.0001946119363221,0.0019232583225089,0.1198669673809089,0.5743823861660012,0.792979529193122
D3YVF0,AKAP5_MOUSE,0.2292024698229997,0.1690006411829469,0.2341451695171897,0.4395938702089566,4.518185082047132e-06,9.039125154997952e-05,0.4703745550705356,0.0002376417560233,0.0037005542193663
D3YX43,VSIG10_MOUSE,,0.2656440826018187,0.2429362642867617,,,,-0.1289167119713926,0.7807500330681523,0.9154386877727057
D3YXG0,HMCN1_MOUSE,0.1183879548707365,0.1463380566053583,0.1375007486694232,-0.3057827003439101,0.594225972129921,0.7454518941312347,-0.0898655309552932,0.8990395090557418,0.9712045419837364
D3YXJ0,DGKH_MOUSE,0.1226983040075412,0.2877156440036126,0.299823892977506,-1.2295283595290043,0.1932768795003945,0.3659212011776078,0.0594716892175106,0.9010781304682464,0.9717390830585848
D3YXK2,SAFB_MOUSE,0.2408122381948399,0.1073468059111825,0.2040782881923661,1.1656294477717624,3.1042762477787585e-05,0.0004390142400414,0.9268434381339312,,
D3YZP9,CCDC6_MOUSE,0.298738304775367,0.1998421932800014,0.2667626916232822,0.580021018713591,0.0107577997701519,0.0455053059736977,0.4166956951891103,0.1920611757015867,0.420444124767147
D3Z4S3,PTRHD1_MOUSE,0.1281158394384347,0.0752853844841439,,0.7670071326422241,0.0815243309103192,0.1974031953629205,,,
D3Z6Q9,BIN2_MOUSE,0.3586395203574836,0.2533175368122157,0.2107993931165984,0.5015875188199164,0.1879171309818473,0.3596416038679138,-0.2650762427130371,0.516163688430701,0.7519306244318678
D3Z7P3,GLS_MOUSE,0.1401720857064266,0.1327457034093692,0.0974323889994752,0.0785339093319622,0.4813335794255285,0.6550957048186337,-0.4461918203544038,0.0658211908155071,0.2144006122398911
D3Z7Q2,SMIM20_MOUSE,0.5239482603499201,,,,,,,,
E9PV24,FGA_MOUSE,0.1537937580254169,0.0985439360746124,0.1161275079041939,0.6421579478005508,0.0016206264540711,0.0104056269976661,0.2368707510491088,0.0558386900415602,0.1913619856802351
E9PVA8,GCN1_MOUSE,0.2134976045465305,0.219141539501194,0.1588953575057517,-0.0376430983144972,0.3218770715130719,0.5067556005923171,-0.4637860075027643,0.0001161086709886,0.0020642967029913
E9PYK3,PARP4_MOUSE,0.2495674246944278,0.2635268508442647,0.2751291410559021,-0.0785203303336292,0.8162043679514694,0.8899855537549921,0.0621589886795721,0.8433361480373841,0.9460898467022312
E9Q1P8,IRF2BP2_MOUSE,,1.699088669060114,,,,,,,
E9Q394,AKAP13_MOUSE,0.355667030871998,0.364590194886475,0.4741524002373166,-0.0357485150931909,0.6173262446390702,0.76403146309347,0.3790750763897637,0.1523213910618432,0.365133181832977
E9Q3L2,PI4KA_MOUSE,0.0996135564797137,0.0956656718578323,0.120928288863687,0.0583407642098602,0.7950137871729137,0.8770814511480598,0.3380785410692734,0.7126104670855543,0.8742586668247478
E9Q414,APOB_MOUSE,0.2412160076294564,0.1294515006790537,0.5227610848713368,0.8979139609418653,0.2272399444616569,0.4065290391377843,2.0137400588049026,0.0919900101743317,0.2662085006663666
E9Q4N7,ARID1B_MOUSE,0.2495936046592767,0.3114769086938576,0.3495168027905599,-0.3195442446996585,,,0.1662366007072639,0.8045619760400305,0.9253325371325298
E9Q555,RNF213_MOUSE,0.2900943079694515,0.2204285676339316,0.1707131078471418,0.3962107783433233,0.3038257125248601,0.4887204316885068,-0.3687373729778792,0.4020883905858705,0.6541559357458703
E9Q557,DSP_MOUSE,0.147273354649554,0.1289506354949321,0.0976556002469282,0.191677552139915,0.6974387108977268,0.8211581847916379,-0.4010441973390568,0.3080368712408293,0.5608231257098094
E9Q5C9,NOLC1_MOUSE,0.4476612854270382,,0.4422779200196056,,,,,,
E9Q634,MYO1E_MOUSE,0.1336157890311028,0.1573123541055069,0.1194543122270214,-0.2355414759888301,0.6040896539284587,0.753046411299116,-0.3971730382680556,,
E9Q6J5,BOD1L_MOUSE,0.3692451066625463,,0.4008736966380278,,,,,,
E9Q784,ZC3H13_MOUSE,,0.527504880643691,0.4463008429586788,,,,-0.2411679106486906,0.6545833458765662,0.8359521302167555
E9Q7D5,ARHGEF5_MOUSE,0.3746480368054126,,0.3304123139366136,,,,,,
E9Q7G0,NUMA1_MOUSE,0.2373273904451386,0.3006467114261757,0.2380230623188605,-0.3411905633812361,0.0020739056102794,0.0127424799762677,-0.3369678133112324,0.031179094543229,0.1334233061703603
E9QAM5,HELZ2_MOUSE,0.4347601676131272,0.4585713655329231,0.4224608937819785,-0.0769265040267012,0.8742728238853958,0.9286141583580396,-0.1183284711882886,0.8902957897973163,0.966915913455202
E9QAT4,SEC16A_MOUSE,0.2241385043710055,0.1521380836882651,,0.5590091699815016,,,,,
F6ZDS4,TPR_MOUSE,0.2814977286923406,0.2084093745304728,0.2024292352233694,0.4337031083308563,6.286718245781578e-06,0.0001145929031356,-0.04200251151553,0.3458519845635965,0.602246583509553
F7BWT7,TSPAN15_MOUSE,0.4519362176420272,0.2355571779302984,,0.9400418828670646,0.1131951248750039,0.2499499226978168,,,
F8VPU2,FARP1_MOUSE,0.1609840846118188,0.1066003381255957,0.1582707941622855,0.5947060518745655,8.052680533649256e-05,0.0009858524190635,0.5701830441633263,0.0130353171981989,0.0759921209126887
F8VPZ9,BICRA_MOUSE,0.3203014950655296,0.0917514330862525,,1.8036279351474875,0.2888526208391736,0.4726810219318347,,,
G3X982,AOX3_MOUSE,0.2627508211362994,0.2085268161811353,0.2273351572569856,0.3334623491955682,0.0749583870130944,0.186564895374355,0.1245878897634163,0.5152707677070523,0.751817264306694
G3X9K3,ARFGEF1_MOUSE,0.2787885089962771,0.0905410141481961,,1.6225277265615707,0.0427003560089463,0.125960976055039,,,
G5E829,ATP2B1_MOUSE,0.1361608803628616,0.0954356934546928,0.1265523865111163,0.5127114222119512,0.0519683471571168,0.1439465647168299,0.4071338660358699,0.4986528292175414,0.7381216966248793
G5E870,TRIP12_MOUSE,0.4813615998314666,0.5235232636448451,0.6073889430406005,-0.1211325904196427,0.7579292902691155,0.8539718411308269,0.2143669986190872,0.577665223322892,0.7938070937695163
G5E897,POGLUT3_MOUSE,0.1738008922103493,0.1558164937737245,0.1245914182342041,0.157587531986623,0.2971581416275244,0.4821839083481244,-0.3226432562840279,0.1177497631410097,0.3113547557828835
G5E8K5,ANK3_MOUSE,0.3071610991803277,0.2069096525888923,0.2641870009392383,0.5699945653653817,0.0003333371720827,0.0029242761005438,0.3525585316850534,0.0739770027741604,0.2295641223985035
G5E8Q8,ADGRF5_MOUSE,0.2521843312253906,1.2073390933270596,1.1922044590157514,-2.2592803827124506,1.3421617519440543e-06,3.3615516855942305e-05,-0.0181992540992574,0.9851460859192448,1.0
O08528,HK2_MOUSE,0.1155202670694764,,,,,,,,
O08529,CAPN2_MOUSE,0.1111341758283289,0.1011869438742913,0.1006400835952941,0.1352793890791,0.3207780767984433,0.5062399566982647,-0.0078181257803616,0.886562730665143,0.964916523554408
O08530,S1PR1_MOUSE,,0.2456909703879462,,,,,,,
O08532,CACNA2D1_MOUSE,0.0626225649460032,0.0568044832394966,0.072971646427554,0.1406778032155211,0.3644535189968568,0.5453340339134438,0.3613312074791449,0.1622177801452606,0.3790971797439715
O08539,BIN1_MOUSE,0.2368165784341055,0.1557197769628083,0.2272510948445426,0.6048178974844701,0.0005991244952123,0.0045929308983297,0.5453350615861106,0.0209628566774921,0.1017473194391698
O08547,SEC22B_MOUSE,0.3943823873619516,0.1228676228850036,0.1158462721039852,1.682490326069725,,,-0.0848931785934542,0.7470298460841507,0.892229372139722
O08553,DPYSL2_MOUSE,0.0860909340613369,0.0824398935579144,0.1041646523249846,0.0625186782474607,0.3534295913659491,0.5354126221383274,0.3374512431500593,7.202683762532185e-08,5.150719188406349e-06
O08573,LGALS9_MOUSE,0.3338962041612028,0.2836486242164052,0.1478205934176814,0.2352948259673431,0.1988097372846058,0.3727398560175952,-0.9402575959962192,0.0963394919478046,0.275573764522698
O08579,EMD_MOUSE,0.2567028987981721,0.2346516742902745,0.3432521121582131,0.1295788331875419,0.6076268426832709,0.7551604813802317,0.5487478434971376,0.0436333460909706,0.1655803157084238
O08582,GTPBP1_MOUSE,0.2328986152939384,0.1949471198595992,0.1222515810337961,0.2566192214071764,0.0238922357572173,0.0825162373888737,-0.6732297174468035,0.1020325938443047,0.285265757594242
O08583,ALYREF_MOUSE,0.1333651661334014,0.1061189248810767,0.1576079385930655,0.3296999314119285,0.0374352097579344,0.1155455533544525,0.5706582396583212,0.0014315645701036,0.0153559159553121
O08585,CLTA_MOUSE,0.2365840877418211,,0.5071791125408077,,,,,,
O08599,STXBP1_MOUSE,0.1702074063169841,0.1280419630725074,0.149990761836363,0.4106771142624403,0.001673985147924,0.0106854966349006,0.2282569448198919,0.0974768202267035,0.2778395976838003
O08600,ENDOG_MOUSE,0.0695044669123007,0.0587896931551386,0.1973335495056977,0.241542451960476,0.6800271171555141,0.8089807728017556,1.7470011024819532,,
O08601,MTTP_MOUSE,0.2404796181189325,,0.26999486625263,,,,,,
O08638,MYH11_MOUSE,0.0699343068296702,0.0766506506798481,0.1003706777828686,-0.132297684073956,0.0278957837593905,0.0928376763612325,0.3889679190105041,0.0084158097147716,0.0552695421676229
O08663,METAP2_MOUSE,0.4045098351537916,0.2894957689942215,0.3133065802043071,0.4826325171627713,0.0255691996879421,0.0868452838262301,0.1140328068954039,0.494714202250709,0.7356701953986976
O08677,KNG1_MOUSE,0.47266362757157,0.4660552297561134,0.3392761716072884,0.0203129194290254,0.6067795309767987,0.7551065449981703,-0.458040822451976,0.0030385139135132,0.0259361744660098
O08691,ARG2_MOUSE,0.1791578350107032,0.0582863129307513,,1.6200020897167946,0.004078674318662,0.0217595616902929,,,
O08692,NGP_MOUSE,0.5633219266387747,0.304245060945214,0.4376910582725658,0.8887257851659511,0.0003844452714602,0.0032583982127949,0.5246790683099862,0.1832290696263379,0.409750622694618
O08709,PRDX6_MOUSE,0.0787190202121015,0.0828485559885233,0.0933973585539592,-0.0737642880956566,0.482622171132629,0.6559583030182916,0.1729051963217404,0.2164044906862841,0.4504460873405318
O08717,INHBE_MOUSE,,0.3530654685690067,,,,,,,
O08738,CASP6_MOUSE,0.129482788951349,0.1310693059366999,0.0747210240826612,-0.0175695265578982,,,-0.8107437389706773,,
O08739,AMPD3_MOUSE,0.1354847095088487,0.1070845133233058,0.2103670562871425,0.3393801904624157,0.1069526478889379,0.240185925888847,0.9741589436091278,0.152399166472973,0.365133181832977
O08742,GP5_MOUSE,,,0.257036421005343,,,,,,
O08749,DLD_MOUSE,0.0751385163625383,0.0622027377313392,0.0931865150132634,0.2725745505780233,0.0713109361097373,0.1803776419781079,0.5831431189663119,0.0675810899331829,0.2172586887162665
O08756,HSD17B10_MOUSE,0.0512611273261712,0.0440650570751674,0.0564001829686214,0.2182301327240348,0.0846422272647101,0.2033901435755911,0.3560647691355009,0.0626466929983112,0.2067662134036571
O08759,UBE3A_MOUSE,,0.8722863488929947,,,,,,,
O08784,TCOF1_MOUSE,0.2327047852461228,0.2445970993233112,0.187255250179479,-0.0719064170084521,0.5311454194519414,0.694574779283308,-0.3854011261546545,0.3406308917404717,0.5960577540080684
O08788,DCTN1_MOUSE,0.1139991237265494,0.1009139300529196,0.1374308026281612,0.1758973986155136,0.7263959539368099,0.8366276870887837,0.4455800580932689,0.1154530889316485,0.3085781064634925
O08795,PRKCSH_MOUSE,0.2856860649009176,0.2630738531760331,0.3059200197785787,0.1189628000533589,0.8287556537025946,0.898594613284274,0.2176866550633635,0.5840606188817152,0.7977534259598301
O08800,SERPINB8_MOUSE,0.2021300387614972,,,,,,,,
O08807,PRDX4_MOUSE,0.1125605635752948,0.1364557783383254,0.1379069070916945,-0.2777320309975553,0.2240639947591876,0.4028240913999422,0.0152612282175059,0.3133468399435597,0.5665496670467488
O08808,DIAPH1_MOUSE,0.2151533764944442,0.1722530851371136,0.1544698285401149,0.3208356587617637,0.2421741266422913,0.4246752740746038,-0.1572047479419611,0.2179752061777639,0.4522528778078943
O08810,EFTUD2_MOUSE,0.1551440489135042,0.1509913766867394,0.1374812528336981,0.0391422006516768,0.8085009239200095,0.8862985403880893,-0.1352312539022634,0.1917987824261497,0.4201555356346834
O08848,RO60_MOUSE,0.6659804828626394,0.5374227662737255,0.5568781826513773,0.3094224604691957,0.3950063897975454,0.5765195573513108,0.051304333886352,0.8922461315432274,0.9683804557524808
O08911,MAPK12_MOUSE,0.112997688390586,,0.0860712098885935,,,,,,
O08914,FAAH_MOUSE,0.0867026447333444,,0.0734774034963919,,,,,,
O08915,AIP_MOUSE,0.4242908949281767,0.3013781694738999,0.2389286333269676,0.4934788012865539,0.0007240275195327,0.0053233544561581,-0.3349951607049662,0.0393827912130378,0.1551913679162594
O08917,FLOT1_MOUSE,0.0755526315768668,0.0653331124637065,0.058361300972511,0.2096676355959458,0.0125179315488534,0.0501481482439414,-0.162802327503774,0.1900884413511859,0.4172609851760685
O08997,ATOX1_MOUSE,0.1465645409933119,0.149951763016987,0.2042908866928137,-0.0329623762958523,0.8605622742105525,0.9203079601319502,0.4461263632523331,0.0057698797498987,0.0422949271871847
O08999,LTBP2_MOUSE,0.2362367645863902,,,,,,,,
O09000,NCOA3_MOUSE,,0.0347400856518017,,,,,,,
O09005,DEGS1_MOUSE,0.5255860622428361,0.3712730543289027,,0.5014464047071887,0.3928648043313959,0.5744159639087835,,,
O09012,PEX5_MOUSE,0.2043772077797908,,0.2036522863147319,,,,,,
O09043,NAPSA_MOUSE,,0.0848592159475422,,,,,,,
O09044,SNAP23_MOUSE,0.2188036168743851,0.1629366008300979,0.2369224706877171,0.4253258701778218,0.0005868981930321,0.0045362373045181,0.5401043198820087,0.2024593346943293,0.4330648521627446
O09049,REG3G_MOUSE,0.4733326652467362,0.5052528977419867,0.581381459620628,-0.0941512032157809,0.8659184439479354,0.9233817250731172,0.2024793735358374,0.6969598259108586,0.8642838997229838
O09061,PSMB1_MOUSE,0.1014765820029495,0.0908838542206899,0.3125103526638233,0.1590509082326529,0.8779467920584288,0.9307466152067514,1.7818080599879038,7.225592687264571e-09,6.838810961063939e-07
O09106,HDAC1_MOUSE,0.260694199378928,0.1375794061894217,0.2359819347478303,0.9220939483898832,0.0023592435277956,0.0141511481073079,0.7784118864968566,0.1050639328185525,0.2894655272346763
O09110,MAP2K3_MOUSE,0.2656902371123585,0.2076471207178956,0.20358990237936,0.3556113492662326,0.2753380446032361,0.4576414003765033,-0.0284678585430651,0.9404439521415796,0.9873255360679328
O09117,SYPL1_MOUSE,1.05105340097468,0.9412503929354892,0.674807389252507,0.1591855031461571,0.8246224383814335,0.8955929229822851,-0.4801027905925961,,
O09118,NTN1_MOUSE,0.4040518797138178,,,,,,,,
O09131,GSTO1_MOUSE,0.1326073017296473,0.1275616478572634,0.1489995896382844,0.0559655767320407,0.4563674035593356,0.6315231763298946,0.2241137176101438,0.2795374490085057,0.5322790005380896
O09159,MAN2B1_MOUSE,0.3845377711754071,0.3460410243212686,0.3451355921654074,0.1521822293650973,0.3372532092278144,0.522563845678774,-0.0037798247139014,0.9040667266112088,0.973005594058485
O09161,CASQ2_MOUSE,0.0790569057887726,,,,,,,,
O09164,SOD3_MOUSE,0.511778781320769,0.2894323792227548,0.4598187819454969,0.8222940062496564,1.503797217626257e-07,5.086555330960567e-06,0.6678390688713667,0.0002138701937138,0.0034071004127283
O09167,RPL21_MOUSE,0.1975618826737478,0.1613329837513636,0.1831889795295578,0.2922632014138902,0.0893518925466731,0.2107574115353232,0.1832912942181493,0.3965304850991066,0.649799518853759
O09172,GCLM_MOUSE,0.0541134931431679,,0.1076486399938352,,,,,,
O35071,KIF1C_MOUSE,0.1741310865415519,0.1549973560993137,0.2142780827075207,0.1679301747394302,0.3441832623622576,0.5284530537775022,0.4672406858203042,0.216666247507966,0.4506994081969196
O35074,PTGIS_MOUSE,0.1702571994333781,0.1457263703262276,0.1502424775732411,0.2244538368243922,0.0480230415593902,0.1359552730143323,0.0440307910846127,0.9560769691949772,0.9938809275896906
O35083,AGPAT1_MOUSE,0.1481297447934657,,,,,,,,
O35114,SCARB2_MOUSE,0.2176535409603296,0.2117371311316239,0.1564543126315429,0.0397592025005621,0.3643342011265752,0.5453340339134438,-0.4365328619981766,0.017239567138166,0.0906169597766014
O35127,GRCC10_MOUSE,0.6500599735295094,0.4160467814930582,0.7633752121547432,0.6438270668439285,0.1317253407255106,0.2791930509821707,0.8756465827632429,,
O35129,PHB2_MOUSE,0.0593596967304721,0.0589763606368842,0.0700432596685996,0.00934692312693,0.9665523075275684,0.983946050573364,0.2481094272791763,0.3921118846315458,0.6457605141987279
O35143,ATP5IF1_MOUSE,0.9477189718109772,,1.3885653724911835,,,,,,
O35166,GOSR2_MOUSE,0.1529699670372286,,0.1388400841827247,,,,,,
O35177,NEDD9_MOUSE,,0.491751189670831,0.4913394025874775,,,,-0.0012086031999059,0.9968809678397916,1.0
