Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
A6X935,ITIH4_MOUSE,0.8695356080077441,8.788380827448697e-11,7.766574127128886e-09,-0.5042226214466846,0.055551542111193224,0.19078427162627515
A8C756,THADA_MOUSE,,,,-0.7864596655320055,0.0015033613077382233,0.015861694060005253
B1AVD1,XPNPEP2_MOUSE,-2.0185414978686134,,,,,
B1AXH1,NHSL2_MOUSE,-0.5049046394979289,0.2739504286976534,0.456028085518519,-0.19355966563753937,0.6736276404337183,0.8467063826631357
B1AXP6,TOMM5_MOUSE,-0.05956614690278124,0.9704538628830705,0.9854307865167745,-0.5315034686960098,0.16274677160616047,0.3795066021946554
B1AZP2,DLGAP4_MOUSE,-0.15256172402743468,0.6546790911127935,0.7929132882765138,-0.8600962271606687,0.041765543905600465,0.16071797258886375
B2RQC6,CAD_MOUSE,0.23584888689450087,0.34474900480883475,0.5288085482832103,-0.4496401791994848,0.14096340014231062,0.34920725300843386
B2RRE7,OTUD4_MOUSE,0.2702884574207819,0.20941061528836857,0.38513241522485275,0.6771200013201932,0.00023376981470319837,0.0036696159205604506
B2RUP2,UNC13D_MOUSE,-0.14664793082558292,0.7130405450403006,0.8298846607168404,0.677683927275762,0.05782928538092158,0.1954775633989555
B2RUR8,OTUD7B_MOUSE,0.31874306823560783,0.4659326346736695,0.642591414192648,0.07194605694281087,0.9073270476639452,0.9740430406127825
B2RXC1,TRAPPC11_MOUSE,0.14490104666831619,0.6012338121277181,0.7511988338122784,-0.8787259249400905,,
B2RXS4,PLXNB2_MOUSE,0.375119915251579,0.10296678024738953,0.23314976258915462,0.027314694682886435,0.9687251896059295,0.9995166935213556
B2RY04,DOCK5_MOUSE,-1.0640447964237274,0.07484863012628976,0.18646799957809923,1.1451725683127991,0.005422844181101136,0.04048889228488041
B2RY56,RBM25_MOUSE,-0.1269369781117885,0.7382452754298734,0.8440934468203639,0.676526916208255,0.20128397671941745,0.43153353569825803
B8JK39,ITGA9_MOUSE,0.6424187818010665,0.5648433669276337,0.7213644352259216,0.15272198881840976,0.8993752439749951,0.9712045419837364
B9EJ86,OSBPL8_MOUSE,-0.061997308983988884,0.8510757297822482,0.9143351242356111,-0.7931242116136293,0.039950141729827776,0.15639848672334036
D0QMC3,MNDAL_MOUSE,0.686846231594248,0.0001946119363221482,0.0019232583225089405,0.11986696738090892,0.5743823861660012,0.792979529193122
D3YVF0,AKAP5_MOUSE,0.4395938702089566,4.518185082047132e-06,9.039125154997952e-05,0.4703745550705356,0.000237641756023311,0.003700554219366362
D3YX43,VSIG10_MOUSE,,,,-0.1289167119713926,0.7807500330681523,0.9154386877727057
D3YXG0,HMCN1_MOUSE,-0.30578270034391014,0.594225972129921,0.7454518941312347,-0.0898655309552932,0.8990395090557418,0.9712045419837364
D3YXJ0,DGKH_MOUSE,-1.2295283595290045,0.19327687950039452,0.36592120117760785,0.059471689217510657,0.9010781304682465,0.9717390830585848
D3YXK2,SAFB_MOUSE,1.1656294477717624,3.1042762477787585e-05,0.0004390142400414701,0.9268434381339312,,
D3YZP9,CCDC6_MOUSE,0.580021018713591,0.010757799770151944,0.04550530597369773,0.4166956951891103,0.19206117570158676,0.42044412476714704
D3Z4S3,PTRHD1_MOUSE,0.7670071326422241,0.0815243309103192,0.1974031953629205,,,
D3Z6Q9,BIN2_MOUSE,0.5015875188199164,0.18791713098184737,0.3596416038679138,-0.2650762427130371,0.516163688430701,0.7519306244318678
D3Z7P3,GLS_MOUSE,0.07853390933196222,0.48133357942552857,0.6550957048186337,-0.4461918203544038,0.06582119081550716,0.21440061223989118
E9PV24,FGA_MOUSE,0.6421579478005508,0.0016206264540711316,0.010405626997666112,0.23687075104910885,0.055838690041560224,0.19136198568023513
E9PVA8,GCN1_MOUSE,-0.03764309831449721,0.3218770715130719,0.5067556005923171,-0.46378600750276433,0.00011610867098863597,0.002064296702991329
E9PYK3,PARP4_MOUSE,-0.07852033033362929,0.8162043679514694,0.8899855537549921,0.062158988679572175,0.8433361480373841,0.9460898467022313
E9Q394,AKAP13_MOUSE,-0.035748515093190984,0.6173262446390702,0.76403146309347,0.3790750763897637,0.15232139106184323,0.365133181832977
E9Q3L2,PI4KA_MOUSE,0.058340764209860244,0.7950137871729137,0.8770814511480598,0.33807854106927343,0.7126104670855543,0.8742586668247478
E9Q414,APOB_MOUSE,0.8979139609418653,0.22723994446165696,0.4065290391377843,2.0137400588049026,0.09199001017433177,0.2662085006663666
E9Q4N7,ARID1B_MOUSE,-0.31954424469965853,,,0.16623660070726398,0.8045619760400305,0.9253325371325298
E9Q555,RNF213_MOUSE,0.3962107783433233,0.3038257125248601,0.4887204316885068,-0.36873737297787923,0.40208839058587054,0.6541559357458703
E9Q557,DSP_MOUSE,0.19167755213991503,0.6974387108977268,0.8211581847916379,-0.40104419733905683,0.30803687124082935,0.5608231257098094
E9Q634,MYO1E_MOUSE,-0.23554147598883018,0.6040896539284587,0.753046411299116,-0.3971730382680556,,
E9Q784,ZC3H13_MOUSE,,,,-0.24116791064869064,0.6545833458765662,0.8359521302167555
